online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost
Yes,No,3.2,5.0,Shivajinagar,Quick Bites,South Indian,300.0
No,No,3.1,23.0,MG Road,Quick Bites,"Street Food, Beverages, North Indian",300.0
No,No,3.3,4.0,Shanti Nagar,Quick Bites,South Indian,250.0
No,No,3.9,27.0,Ulsoor,Quick Bites,Street Food,100.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,South Indian,100.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,North Indian,200.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,Biryani,200.0
No,No,3.7,0.0,Richmond Road,Quick Bites,"North Indian, Fast Food",300.0
No,No,3.7,0.0,Residency Road,Quick Bites,North Indian,450.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,"South Indian, North Indian",400.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,"South Indian, North Indian, Chinese",350.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,"North Indian, Biryani",300.0
No,No,3.7,0.0,MG Road,Quick Bites,"Fast Food, Street Food",150.0
No,No,3.7,0.0,MG Road,Quick Bites,South Indian,300.0
No,No,3.7,0.0,Shanti Nagar,Quick Bites,"South Indian, Beverages",100.0
No,No,3.7,0.0,Ulsoor,Quick Bites,North Indian,250.0
Yes,No,3.7,0.0,Shivajinagar,Quick Bites,North Indian,150.0
Yes,No,3.2,4.0,Shivajinagar,Quick Bites,South Indian,200.0
Yes,No,3.7,0.0,Shanti Nagar,Quick Bites,"South Indian, Chinese, North Indian",300.0
Yes,No,3.7,0.0,Shivajinagar,Quick Bites,"North Indian, Chinese, Kebab",300.0
Yes,No,3.7,17.0,Ulsoor,Quick Bites,Burmese,300.0
No,No,3.4,12.0,Ulsoor,Quick Bites,South Indian,100.0
No,No,3.3,4.0,Ulsoor,Quick Bites,North Indian,100.0
No,No,3.3,6.0,MG Road,Quick Bites,"North Indian, Mithai",300.0
No,No,4.1,399.0,Shivajinagar,Quick Bites,"North Indian, Beverages, Fast Food",300.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,"South Indian, Chinese, Juices, Street Food",200.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,"South Indian, Juices",200.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,"North Indian, Fast Food",200.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0
Yes,No,3.7,0.0,Richmond Road,Quick Bites,"North Indian, Fast Food",300.0
Yes,No,3.7,0.0,Shivajinagar,Quick Bites,North Indian,100.0
No,No,3.7,0.0,Richmond Road,Quick Bites,South Indian,150.0
No,No,3.7,0.0,Richmond Road,Quick Bites,"Fast Food, Chinese",200.0
No,No,3.7,0.0,Richmond Road,Quick Bites,"North Indian, Street Food, Fast Food",200.0
No,No,3.7,0.0,Ulsoor,Quick Bites,"South Indian, Biryani",300.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,Biryani,250.0
No,No,3.7,0.0,Commercial Street,Quick Bites,South Indian,150.0
No,No,3.7,0.0,MG Road,Quick Bites,"Street Food, Fast Food, North Indian",300.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,"North Indian, Fast Food, Chinese",600.0
No,No,3.7,0.0,Shanti Nagar,Quick Bites,Chinese,300.0
No,No,3.7,0.0,Shanti Nagar,Quick Bites,"North Indian, Chinese, Biryani",300.0
No,No,3.7,0.0,Shanti Nagar,Quick Bites,"South Indian, Chinese, Sandwich",150.0
No,No,3.7,0.0,Ulsoor,Quick Bites,"North Indian, Fast Food, Beverages",200.0
Yes,No,2.9000000000000004,34.0,Ulsoor,Quick Bites,"Italian, Pizza",600.0
Yes,No,3.7,0.0,Shivajinagar,Quick Bites,"North Indian, Biryani",200.0
Yes,No,3.7,0.0,Shivajinagar,Quick Bites,"North Indian, Chinese, Biryani",300.0
Yes,No,3.7,0.0,Ulsoor,Quick Bites,"Biryani, Fast Food",300.0
No,No,3.5,17.0,Commercial Street,Quick Bites,South Indian,100.0
No,No,3.6,25.0,Commercial Street,Quick Bites,"Beverages, Desserts",250.0
No,No,3.6,13.0,Shanti Nagar,Quick Bites,"North Indian, Chinese, South Indian",400.0
No,No,3.4,11.0,Commercial Street,Quick Bites,"Street Food, Mithai",150.0
No,No,3.1,4.0,Ulsoor,Quick Bites,"Fast Food, North Indian",300.0
No,No,3.3,4.0,Shivajinagar,Quick Bites,"South Indian, Chinese",250.0
No,No,2.9000000000000004,10.0,Richmond Road,Quick Bites,"South Indian, North Indian",250.0
No,No,3.2,4.0,Richmond Road,Quick Bites,Biryani,300.0
No,No,3.4,11.0,Shanti Nagar,Quick Bites,South Indian,300.0
No,No,3.2,10.0,Shanti Nagar,Quick Bites,Biryani,200.0
No,No,3.2,4.0,Ulsoor,Quick Bites,North Indian,200.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,South Indian,200.0
No,No,3.7,0.0,Richmond Road,Quick Bites,"Fast Food, Chinese",150.0
No,No,3.2,9.0,Shanti Nagar,Quick Bites,"South Indian, North Indian, Chinese",350.0
No,No,3.7,0.0,Shanti Nagar,Quick Bites,"South Indian, North Indian, Chinese",300.0
No,No,3.1,6.0,Shanti Nagar,Quick Bites,"Biryani, Kebab",250.0
No,No,3.4,7.0,Residency Road,Quick Bites,"South Indian, Biryani, Mangalorean",500.0
No,No,3.7,0.0,Shanti Nagar,Quick Bites,"South Indian, North Indian, Fast Food",200.0
No,No,3.6,14.0,Shivajinagar,Quick Bites,South Indian,250.0
No,No,3.4,5.0,Richmond Road,Quick Bites,South Indian,200.0
No,No,3.7,10.0,Shivajinagar,Quick Bites,South Indian,200.0
No,No,3.7,18.0,Shanti Nagar,Quick Bites,"Street Food, Fast Food",250.0
No,No,3.8,38.0,Commercial Street,Quick Bites,"Chinese, Beverages, Street Food",300.0
No,No,3.0,16.0,Ulsoor,Quick Bites,"North Indian, Street Food",150.0
Yes,No,3.7,0.0,Church Street,Quick Bites,"Pizza, Burger, Coffee, Beverages",500.0
No,No,3.7,0.0,Commercial Street,Quick Bites,North Indian,300.0
No,No,3.0,22.0,St. Marks Road,Quick Bites,"Street Food, Rolls",200.0
No,No,3.8,41.0,Residency Road,Quick Bites,Beverages,100.0
No,No,3.6,15.0,MG Road,Quick Bites,North Indian,350.0
No,No,3.2,5.0,Shivajinagar,Quick Bites,"South Indian, North Indian, Chinese",150.0
No,No,3.2,9.0,Shivajinagar,Quick Bites,North Indian,200.0
No,No,3.7,0.0,Commercial Street,Quick Bites,Chinese,500.0
No,No,3.7,0.0,Commercial Street,Quick Bites,Chinese,400.0
No,No,3.5,9.0,St. Marks Road,Quick Bites,"Bihari, North Indian, Fast Food",250.0
No,No,3.7,0.0,Richmond Road,Quick Bites,Fast Food,100.0
No,No,3.7,0.0,Richmond Road,Quick Bites,"Fast Food, Beverages",200.0
No,No,3.7,0.0,Shanti Nagar,Quick Bites,"South Indian, Fast Food",150.0
No,No,3.7,0.0,Shanti Nagar,Quick Bites,"South Indian, North Indian, Coffee, Juices, Tea",100.0
No,No,3.7,0.0,Shanti Nagar,Quick Bites,"Biryani, North Indian, South Indian",200.0
No,No,3.7,0.0,Richmond Road,Quick Bites,South Indian,300.0
No,No,3.7,0.0,Richmond Road,Quick Bites,Biryani,150.0
No,No,3.7,0.0,Richmond Road,Quick Bites,Biryani,200.0
No,No,3.7,0.0,Richmond Road,Quick Bites,South Indian,250.0
No,No,3.1,6.0,Shivajinagar,Quick Bites,Biryani,300.0
No,No,3.7,0.0,Lavelle Road,Quick Bites,"Mughlai, Cafe",400.0
No,No,3.7,0.0,Ulsoor,Quick Bites,"South Indian, Chinese",300.0
Yes,No,3.4,25.0,Residency Road,Quick Bites,"Chinese, North Indian",300.0
No,No,3.7,0.0,Shivajinagar,Quick Bites,"Chinese, Fast Food",250.0
Yes,No,3.8,113.0,Residency Road,Dessert Parlor,"Continental, Fast Food, Beverages, Desserts",500.0
No,No,3.5,13.0,Commercial Street,Quick Bites,South Indian,200.0
Yes,No,3.7,0.0,Ulsoor,Quick Bites,"American, Continental",600.0
No,No,3.2,7.0,Commercial Street,Quick Bites,South Indian,100.0
No,No,3.2,4.0,Shivajinagar,Quick Bites,"North Indian, Chinese, Kerala, Arabian",400.0
No,No,3.7,0.0,Richmond Road,Quick Bites,South Indian,250.0
Yes,Yes,4.5,484.5,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",1175.0
Yes,Yes,4.1,484.5,Cunningham Road,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",1100.0
Yes,Yes,4.5,484.5,Cunningham Road,Casual Dining,"Italian, Pizza, Salad",1175.0
Yes,No,4.3,484.5,Cunningham Road,"Cafe, Dessert Parlor","Cafe, Desserts",750.0
No,No,3.7,22.0,Vasanth Nagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages",1100.0
No,Yes,4.0,323.0,Cunningham Road,Lounge,"North Indian, Mughlai, Mediterranean",1175.0
Yes,Yes,4.2,474.0,Cunningham Road,Casual Dining,"North Indian, Chinese, Seafood",1175.0
Yes,No,4.1,391.0,Cunningham Road,Casual Dining,"Chinese, Continental, North Indian, Mughlai, Steak",600.0
Yes,Yes,4.3,484.5,Cunningham Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos",1000.0
Yes,No,4.2,484.5,Cunningham Road,Cafe,"Cafe, Continental, Italian, Burger",750.0
Yes,No,3.9,430.0,Frazer Town,Casual Dining,"Mughlai, Kebab, Chinese",550.0
Yes,Yes,4.0,378.0,Cunningham Road,Casual Dining,"North Indian, Chinese, Healthy Food",850.0
No,No,4.1,211.0,Frazer Town,"Bakery, Quick Bites","Bakery, Fast Food",200.0
Yes,No,3.7,162.0,Cunningham Road,Casual Dining,"Chinese, Thai",700.0
Yes,No,3.3,201.0,Cunningham Road,Casual Dining,Chinese,700.0
Yes,No,4.1,402.0,Cunningham Road,Casual Dining,"North Indian, Mughlai, Arabian, Chinese",750.0
Yes,Yes,3.8,91.0,Cunningham Road,Casual Dining,"North Indian, South Indian, Chinese, Continental",1175.0
Yes,No,3.6,32.0,City Market,Casual Dining,"South Indian, North Indian, Chinese",500.0
No,No,3.8,29.0,Cunningham Road,Casual Dining,"South Indian, Biryani",400.0
No,Yes,3.7,100.0,Race Course Road,Casual Dining,"South Indian, Continental, North Indian",1175.0
Yes,No,3.6,31.0,City Market,Casual Dining,"South Indian, North Indian, Chinese, Desserts, Juices",400.0
No,Yes,4.0,70.0,Race Course Road,Fine Dining,"North Indian, Mughlai",1175.0
No,No,4.0,107.0,Cunningham Road,Quick Bites,"Maharashtrian, North Indian",400.0
Yes,No,3.7,74.0,Frazer Town,Quick Bites,North Indian,300.0
No,No,4.5,203.0,City Market,Quick Bites,South Indian,150.0
No,No,3.7,0.0,Sanjay Nagar,Casual Dining,"Continental, Desserts, Italian, Japanese, Mexican",600.0
No,No,3.9,26.0,City Market,Quick Bites,South Indian,100.0
Yes,No,3.5,20.0,Cunningham Road,Cafe,"Cafe, Burger",500.0
No,Yes,3.9,40.0,Cunningham Road,Fine Dining,Seafood,1175.0
No,No,3.5,12.0,Cunningham Road,Quick Bites,"South Indian, North Indian, Chinese",250.0
No,No,3.2,41.0,City Market,Quick Bites,"South Indian, Street Food, Chinese, Fast Food",400.0
No,No,4.0,53.0,Cunningham Road,Quick Bites,"Mexican, Fast Food",400.0
No,No,3.1,46.0,Cunningham Road,Casual Dining,"Asian, Continental",1000.0
No,Yes,3.9,156.0,Cunningham Road,Casual Dining,"North Indian, South Indian, Italian, Continental",1100.0
No,No,3.6,10.0,Cunningham Road,Quick Bites,"South Indian, Chinese",200.0
No,No,3.7,0.0,Cunningham Road,Cafe,Cafe,1000.0
No,No,3.2,4.0,Cunningham Road,Casual Dining,"Andhra, North Indian, Chinese",600.0
Yes,No,2.9000000000000004,56.0,Cunningham Road,Quick Bites,"Fast Food, Rolls",150.0
No,Yes,3.7,43.0,Race Course Road,Bar,"Finger Food, North Indian",1175.0
No,No,3.6,14.0,Cunningham Road,Bar,"North Indian, South Indian, Chinese, Continental",1175.0
No,No,3.2,5.0,Race Course Road,Casual Dining,"North Indian, South Indian",700.0
Yes,No,3.7,0.0,Frazer Town,Quick Bites,"Kebab, Chinese, Biryani",150.0
No,No,3.7,0.0,Vasanth Nagar,Quick Bites,"Mediterranean, European, Healthy Food",500.0
No,No,3.7,0.0,Kumaraswamy Layout,Quick Bites,"North Indian, South Indian, Chinese",400.0
No,No,3.7,0.0,HSR,Casual Dining,"BBQ, Biryani, Charcoal Chicken, Chinese, North Indian, Kerala, Seafood, Street Food",600.0
No,No,3.1,10.0,City Market,Cafe,Cafe,200.0
No,No,3.7,0.0,City Market,Casual Dining,"North Indian, Chinese",500.0
No,No,3.7,0.0,HSR,Quick Bites,"South Indian, Fast Food",200.0
No,No,3.7,0.0,Uttarahalli,Quick Bites,"Chinese, North Indian",300.0
Yes,No,3.7,0.0,Frazer Town,Quick Bites,"Biryani, Kebab",300.0
No,No,3.6,26.0,Vasanth Nagar,Quick Bites,"South Indian, Chinese, Fast Food",200.0
No,No,3.5,31.0,Frazer Town,Quick Bites,"Mughlai, North Indian, Street Food",350.0
No,No,3.1,11.0,Cunningham Road,Quick Bites,"Kerala, South Indian",200.0
No,No,3.3,4.0,Wilson Garden,Quick Bites,Biryani,300.0
Yes,No,3.9,146.0,Cunningham Road,Quick Bites,"Pizza, Italian",600.0
Yes,No,2.9000000000000004,142.0,Frazer Town,"Bakery, Quick Bites","Bakery, Desserts",300.0
No,No,3.1,10.0,Cunningham Road,Casual Dining,"North Indian, Continental, Finger Food",800.0
No,No,3.5,10.0,Race Course Road,Cafe,"Cafe, Tea, Desserts",800.0
No,Yes,4.3,484.5,Brigade Road,"Bar, Casual Dining","Continental, North Indian",1175.0
Yes,Yes,4.0,484.5,Brigade Road,Club,"Chinese, Continental, North Indian, Burger, Pizza",1175.0
No,Yes,4.4,484.5,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1175.0
No,Yes,4.5,484.5,Brigade Road,"Pub, Microbrewery","American, Continental, Salad",1175.0
No,No,4.5,484.5,Brigade Road,"Casual Dining, Bar",South Indian,1175.0
No,Yes,4.4,256.0,Brigade Road,"Microbrewery, Casual Dining","Asian, Continental, European, North Indian",1175.0
No,Yes,4.2,240.0,Brigade Road,Pub,"American, North Indian, Chinese",1175.0
Yes,Yes,4.3,393.0,Brigade Road,"Bar, Casual Dining","Finger Food, Continental, Pizza",1175.0
No,Yes,4.1,484.5,Brigade Road,"Pub, Casual Dining",Finger Food,1100.0
No,No,4.0,484.5,Brigade Road,Pub,"North Indian, Chinese",1100.0
Yes,No,4.0,484.5,Brigade Road,"Bar, Quick Bites","Continental, Chinese",1175.0
No,No,2.9000000000000004,395.0,Brigade Road,Lounge,Finger Food,1175.0
No,No,2.9000000000000004,24.0,Brigade Road,"Bar, Casual Dining","North Indian, South Indian, Continental, Chinese",1175.0
No,Yes,4.4,484.5,MG Road,Lounge,"Asian, North Indian, Thai",1175.0
No,No,4.5,484.5,Residency Road,"Microbrewery, Casual Dining","Continental, BBQ, Salad",1175.0
No,Yes,4.2,484.5,Lavelle Road,Lounge,Continental,1175.0
No,Yes,4.4,484.5,Lavelle Road,Fine Dining,"Asian, Japanese, Thai",1175.0
Yes,Yes,4.4,484.5,Lavelle Road,"Fine Dining, Lounge","Japanese, Asian",1175.0
No,No,4.4,484.5,Lavelle Road,"Casual Dining, Microbrewery",Modern Indian,1175.0
No,Yes,4.5,484.5,St. Marks Road,"Casual Dining, Bar","American, BBQ",1175.0
Yes,Yes,4.5,484.5,St. Marks Road,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean",1175.0
No,Yes,4.2,484.5,Residency Road,"Microbrewery, Lounge","Continental, Italian",1175.0
No,Yes,4.4,484.5,Lavelle Road,"Casual Dining, Bar","Healthy Food, Mediterranean, Desserts, Italian, Pizza, Salad, Kebab",1175.0
Yes,Yes,4.4,484.5,Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian",1175.0
No,No,4.3,484.5,St. Marks Road,"Pub, Casual Dining","Continental, Chinese, North Indian, Finger Food",1175.0
Yes,Yes,4.3,484.5,Lavelle Road,"Pub, Microbrewery","Continental, BBQ, Finger Food",1175.0
No,Yes,4.2,484.5,MG Road,"Pub, Casual Dining","Continental, Chinese, Finger Food, North Indian",1175.0
No,Yes,4.3,446.0,Residency Road,"Microbrewery, Casual Dining",Modern Indian,1175.0
No,No,4.3,484.5,Lavelle Road,Lounge,"Mexican, Tex-Mex",1175.0
No,Yes,4.3,484.5,Infantry Road,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",1175.0
Yes,Yes,4.4,484.0,St. Marks Road,"Bar, Casual Dining",Modern Indian,1175.0
Yes,No,4.3,484.5,Church Street,Lounge,"Continental, Mediterranean, European",1175.0
No,Yes,4.4,108.0,Lavelle Road,"Casual Dining, Bar","North Indian, Chinese, Continental, Italian",1000.0
No,Yes,4.3,474.0,Residency Road,Lounge,Finger Food,1175.0
No,No,4.3,484.5,Church Street,"Bar, Casual Dining","Finger Food, Continental",1100.0
No,Yes,4.3,284.0,St. Marks Road,"Bar, Casual Dining","Mediterranean, Italian, Asian",1175.0
No,Yes,4.1,209.0,MG Road,"Pub, Casual Dining","Continental, Finger Food, Pizza, North Indian",1000.0
Yes,Yes,4.2,484.5,St. Marks Road,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad",1175.0
No,No,4.2,484.5,Church Street,Pub,"Continental, Italian, Burger",1100.0
Yes,Yes,4.0,484.5,Church Street,"Casual Dining, Bar","American, Continental, Steak, Salad",1000.0
No,No,3.7,0.0,Ulsoor,"Pub, Casual Dining","Mexican, North Indian, Continental",1175.0
No,Yes,4.1,93.0,Residency Road,Pub,"Continental, Chinese, Fast Food",1000.0
No,No,4.2,484.5,Shanti Nagar,"Casual Dining, Pub","American, Finger Food, BBQ, Steak",1175.0
No,Yes,3.9,484.5,Church Street,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood",1175.0
No,Yes,4.2,484.5,MG Road,"Casual Dining, Pub","North Indian, Pizza, Chinese",1175.0
No,No,3.9,23.0,Richmond Road,Bar,Finger Food,1175.0
No,No,3.9,378.0,Residency Road,Bar,"North Indian, Chinese, Fast Food",1000.0
No,No,4.2,38.0,Richmond Road,Bar,"Finger Food, Mediterranean, North Indian",1175.0
No,No,4.1,484.5,Lavelle Road,Pub,"Continental, Steak",1175.0
No,Yes,4.1,484.5,MG Road,Club,Continental,1175.0
No,No,3.8,484.5,MG Road,Lounge,"North Indian, Chinese, Mediterranean",1175.0
No,Yes,3.9,484.5,Church Street,Pub,"Finger Food, Continental, Asian, North Indian",1175.0
No,No,3.9,191.0,St. Marks Road,Bar,Finger Food,600.0
No,No,2.9000000000000004,402.0,MG Road,Pub,"North Indian, Chinese",1000.0
No,No,3.9,234.0,Langford Town,"Bar, Casual Dining","Italian, North Indian, Continental",1000.0
No,No,3.7,293.0,Residency Road,Pub,"North Indian, Continental",1000.0
No,No,4.0,93.0,Residency Road,Lounge,Finger Food,1175.0
No,No,3.6,43.0,Residency Road,Lounge,Finger Food,1175.0
No,No,4.0,62.0,Ulsoor,Lounge,Finger Food,1175.0
No,Yes,4.0,196.0,MG Road,"Lounge, Bar","North Indian, Mediterranean, Chinese",1175.0
No,Yes,3.8,73.0,Shanti Nagar,Bar,"Continental, North Indian, Chinese",1175.0
No,No,3.9,72.0,Lavelle Road,Lounge,Spanish,1175.0
No,Yes,4.0,98.0,Ulsoor,Lounge,"Finger Food, Continental, Chinese",1175.0
No,Yes,3.8,108.0,Ulsoor,Bar,"North Indian, Chinese",1175.0
No,No,4.1,259.0,MG Road,"Casual Dining, Bar","Continental, Chinese",1175.0
No,Yes,4.2,258.0,MG Road,"Casual Dining, Bar","Thai, Continental, North Indian",1175.0
No,No,3.5,29.0,Richmond Road,Bar,"Finger Food, Fast Food, Continental",1175.0
No,No,3.7,0.0,Church Street,"Bar, Cafe","Continental, Cafe",1000.0
No,No,3.5,14.0,Residency Road,Bar,"North Indian, Chinese, Finger Food",800.0
No,No,3.4,6.0,Shivajinagar,Bar,"South Indian, North Indian",700.0
No,No,3.7,0.0,Lavelle Road,Bar,"American, Finger Food",1000.0
No,No,3.7,11.0,St. Marks Road,Lounge,"North Indian, Continental",1175.0
No,No,3.3,4.0,Residency Road,Bar,"Chinese, North Indian",1000.0
Yes,Yes,4.5,484.5,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe",1175.0
No,Yes,4.0,323.0,Cunningham Road,Lounge,"North Indian, Mughlai, Mediterranean",1175.0
No,Yes,3.7,43.0,Race Course Road,Bar,"Finger Food, North Indian",1175.0
No,No,3.6,14.0,Cunningham Road,Bar,"North Indian, South Indian, Chinese, Continental",1175.0
No,No,3.5,10.0,Race Course Road,Cafe,"Cafe, Tea, Desserts",800.0
Yes,No,3.9,77.0,Koramangala 7th Block,Dessert Parlor,"Ice Cream, Desserts",800.0
Yes,No,3.9,34.0,Koramangala 7th Block,Dessert Parlor,"Juices, Ice Cream",200.0
Yes,No,3.9,27.0,Koramangala 5th Block,Dessert Parlor,Ice Cream,200.0
Yes,No,4.1,23.0,Koramangala 6th Block,Delivery,"Bakery, Desserts",500.0
Yes,No,4.1,323.0,Koramangala 7th Block,Cafe,"Cafe, American, Italian, Beverages",700.0
Yes,No,4.0,152.0,Koramangala 5th Block,"Beverage Shop, Quick Bites","Beverages, Fast Food, Desserts",350.0
Yes,No,4.0,100.0,Koramangala 7th Block,Dessert Parlor,Bakery,150.0
Yes,No,3.9,110.0,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Bakery, Desserts",200.0
No,No,3.9,43.0,Koramangala 5th Block,Beverage Shop,"Beverages, Juices, Fast Food",200.0
No,No,3.8,34.0,Koramangala 5th Block,Bakery,"Bakery, Desserts, Sandwich",400.0
No,No,3.8,286.0,Koramangala 8th Block,"Dessert Parlor, Cafe","Desserts, Cafe, Fast Food",500.0
Yes,No,3.6,97.0,Koramangala 8th Block,Bakery,"Bakery, Desserts",400.0
Yes,No,3.9,16.0,Koramangala 5th Block,Dessert Parlor,Desserts,300.0
No,No,3.5,11.0,Koramangala 6th Block,Bakery,Bakery,200.0
No,No,3.7,73.0,Koramangala 6th Block,"Sweet Shop, Quick Bites","Mithai, North Indian, Street Food",250.0
Yes,Yes,4.4,484.5,Church Street,"Casual Dining, Bar","Bengali, Seafood",1175.0
No,No,4.3,484.5,St. Marks Road,"Pub, Casual Dining","Continental, Chinese, North Indian, Finger Food",1175.0
No,Yes,4.1,484.5,Lavelle Road,"Casual Dining, Bar","European, Italian, Seafood, Continental",1175.0
Yes,Yes,4.3,484.5,Lavelle Road,"Pub, Microbrewery","Continental, BBQ, Finger Food",1175.0
No,Yes,4.2,484.5,MG Road,"Pub, Casual Dining","Continental, Chinese, Finger Food, North Indian",1175.0
No,Yes,4.3,484.5,Infantry Road,"Casual Dining, Bar","Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",1175.0
Yes,Yes,4.4,484.0,St. Marks Road,"Bar, Casual Dining",Modern Indian,1175.0
Yes,Yes,4.5,484.5,Church Street,"Casual Dining, Bar","Chinese, Momos",1175.0
No,Yes,4.4,108.0,Lavelle Road,"Casual Dining, Bar","North Indian, Chinese, Continental, Italian",1000.0
No,Yes,4.2,332.0,Lavelle Road,"Casual Dining, Bar","North Indian, Mughlai",1000.0
No,No,4.3,484.5,Church Street,"Bar, Casual Dining","Finger Food, Continental",1100.0
No,Yes,4.3,284.0,St. Marks Road,"Bar, Casual Dining","Mediterranean, Italian, Asian",1175.0
No,Yes,4.1,209.0,MG Road,"Pub, Casual Dining","Continental, Finger Food, Pizza, North Indian",1000.0
Yes,Yes,4.2,484.5,St. Marks Road,"Casual Dining, Bar","European, North Indian, Mediterranean, Asian, Salad",1175.0
No,No,4.2,484.5,Church Street,Pub,"Continental, Italian, Burger",1100.0
Yes,Yes,4.3,484.5,Lavelle Road,"Casual Dining, Bar","Chinese, Momos",1175.0
Yes,Yes,4.2,484.5,Ulsoor,"Casual Dining, Bar","Goan, Mangalorean, Pizza",1000.0
Yes,Yes,4.0,484.5,Church Street,"Casual Dining, Bar","American, Continental, Steak, Salad",1000.0
No,No,3.7,0.0,Ulsoor,"Pub, Casual Dining","Mexican, North Indian, Continental",1175.0
No,Yes,4.1,93.0,Residency Road,Pub,"Continental, Chinese, Fast Food",1000.0
No,Yes,3.9,484.5,Church Street,"Casual Dining, Bar","South Indian, Chettinad, Kerala, Seafood",1175.0
No,Yes,4.2,484.5,MG Road,"Casual Dining, Pub","North Indian, Pizza, Chinese",1175.0
No,Yes,4.1,270.0,Residency Road,"Fine Dining, Bar",North Indian,1175.0
Yes,Yes,4.1,484.5,Ulsoor,"Casual Dining, Bar","American, Mexican, Italian, Steak",1175.0
No,No,3.9,23.0,Richmond Road,Bar,Finger Food,1175.0
No,No,3.9,378.0,Residency Road,Bar,"North Indian, Chinese, Fast Food",1000.0
Yes,No,4.0,162.0,Richmond Road,"Casual Dining, Bar",North Indian,1175.0
Yes,Yes,4.3,225.0,MG Road,"Bar, Casual Dining",Asian,1175.0
No,No,4.2,38.0,Richmond Road,Bar,"Finger Food, Mediterranean, North Indian",1175.0
No,Yes,4.4,424.0,Residency Road,"Fine Dining, Bar",Chinese,1175.0
No,No,4.1,484.5,Lavelle Road,Pub,"Continental, Steak",1175.0
Yes,Yes,4.0,188.0,Shivajinagar,"Casual Dining, Bar","North Indian, Lucknowi",1175.0
No,Yes,4.4,183.0,Lavelle Road,"Casual Dining, Bar",Japanese,1175.0
Yes,No,4.2,121.0,Lavelle Road,"Casual Dining, Bar",North Eastern,1000.0
No,Yes,4.1,335.0,MG Road,"Casual Dining, Bar","Kerala, Seafood",1175.0
No,Yes,3.9,484.5,Church Street,Pub,"Finger Food, Continental, Asian, North Indian",1175.0
No,No,3.9,191.0,St. Marks Road,Bar,Finger Food,600.0
No,No,2.9000000000000004,402.0,MG Road,Pub,"North Indian, Chinese",1000.0
No,No,3.9,234.0,Langford Town,"Bar, Casual Dining","Italian, North Indian, Continental",1000.0
No,No,3.1,120.0,Lavelle Road,"Casual Dining, Bar","North Indian, Continental, Chinese",1175.0
No,No,3.7,293.0,Residency Road,Pub,"North Indian, Continental",1000.0
No,Yes,4.0,196.0,MG Road,"Lounge, Bar","North Indian, Mediterranean, Chinese",1175.0
No,Yes,3.8,73.0,Shanti Nagar,Bar,"Continental, North Indian, Chinese",1175.0
No,No,3.5,53.0,Lavelle Road,"Casual Dining, Bar","Asian, North Indian, Continental",1175.0
No,Yes,3.8,108.0,Ulsoor,Bar,"North Indian, Chinese",1175.0
No,No,4.1,259.0,MG Road,"Casual Dining, Bar","Continental, Chinese",1175.0
No,Yes,4.2,258.0,MG Road,"Casual Dining, Bar","Thai, Continental, North Indian",1175.0
No,No,3.5,29.0,Richmond Road,Bar,"Finger Food, Fast Food, Continental",1175.0
No,No,3.7,0.0,MG Road,"Pub, Microbrewery","Finger Food, Continental",1000.0
No,No,3.7,0.0,Church Street,"Bar, Cafe","Continental, Cafe",1000.0
No,No,3.5,14.0,Residency Road,Bar,"North Indian, Chinese, Finger Food",800.0
No,No,3.4,6.0,Shivajinagar,Bar,"South Indian, North Indian",700.0
No,No,3.7,0.0,Lavelle Road,Bar,"American, Finger Food",1000.0
No,No,3.7,0.0,Infantry Road,"Casual Dining, Bar","Finger Food, North Indian",1175.0
No,Yes,3.6,277.0,St. Marks Road,"Casual Dining, Bar","Andhra, Chinese, North Indian",800.0
